parking_segment_id,district_id,district_name,description,fare_description,has_charging_point,geometry_available,legal_answer_eligible,source_text_review_status,source_text_review_note
747,bade,Bade,介壽路一段1(忠勇西街-永福西街),"一般小型車格 週一至週日 08:00~20:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
748,bade,Bade,介壽路一段2(永福西街-廣福路),"一般小型車格 週一至週日 07:00~20:00收費 第一30分鐘收費20元，第二30分鐘收費25元，第三30分鐘收費30元,",false,false,false,APPROVED_SOURCE_TEXT,
749,bade,Bade,介壽路一段3(力行街-忠勇西街),"一般小型車格 週一至週日 08:00~20:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
750,bade,Bade,介壽路二段1(建國路-介壽路二段252巷),"一般小型車格 週一至週日 08:00~20:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
751,bade,Bade,義勇街(介壽路一段-東勇街),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
752,bade,Bade,東勇街1(福林街-和平路),"一般小型車格 週一至週五 08:00~18:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
753,bade,Bade,建國路1(福國街-介壽路一段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
754,bade,Bade,大智路(介壽路一段-桃德路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
755,bade,Bade,永福西街(介壽路一段-桃德路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
756,bade,Bade,東勇一路(東勇北街-忠勇街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
757,bade,Bade,桃德路2(大明街-永福西街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
758,bade,Bade,國際路一段98巷(桃德路-國際路一段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
759,bade,Bade,國際路一段1(國際路一段98巷-中路街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
760,bade,Bade,忠勇街(忠勇西街-和平路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
