parking_segment_id,district_id,district_name,description,fare_description,has_charging_point,geometry_available,legal_answer_eligible,source_text_review_status,source_text_review_note
A01,dayuan,Dayuan,中正東路(43號-55號),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A02,dayuan,Dayuan,新生北路(中山北路-中華路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A03,dayuan,Dayuan,中正一街(中正東路-中山南路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A04,dayuan,Dayuan,中正二街(中正東路-中山南路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A05,dayuan,Dayuan,中正三街(中正東路-中山南路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A06,dayuan,Dayuan,和平一街(中正三街-和平一街路尾),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A07,dayuan,Dayuan,和平二街(中正三街-中山南路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A08,dayuan,Dayuan,和平東路(中正東路-中山南路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A09,dayuan,Dayuan,中山南路1(中正東路-中正三街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0A,dayuan,Dayuan,大成路二段(高鐵北路二段-領航北路四段),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0B,dayuan,Dayuan,大豐三街(大成路二段-大豐二街),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0C,dayuan,Dayuan,春德路1(領航北路三段-興德路),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0D,dayuan,Dayuan,中山南路2(中正三街-橫湳路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0E,dayuan,Dayuan,大成路一段(高鐵北路二段-青峰路二段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0F,dayuan,Dayuan,高鐵北路二段(大成路一段-領航南路四段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0G,dayuan,Dayuan,中華路(機車)(中華路2號-中華路2號),"機車車格 週一至週五 08:00~18:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0H,dayuan,Dayuan,致善路一段(高鐵南路一段-領航南路二段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0I,dayuan,Dayuan,致善路二段(領航北路三段-高鐵南路一段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0J,dayuan,Dayuan,A15站車專區平面停車場(A15站車專區平面停車場-A15站車專區平面停車場),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0K,dayuan,Dayuan,青峰段平面停車場(青峰段平面停車場-青峰段平面停車場),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0L,dayuan,Dayuan,北園段停車場(北園段停車場-北園段停車場),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0M,dayuan,Dayuan,中正東路一段(中正東路-埔心街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0N,dayuan,Dayuan,埔心街(中正東路-埔心街6巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0O,dayuan,Dayuan,大成路一段2(青峰路二段-領航南路四段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0P,dayuan,Dayuan,青埔棒壘球場(機車計次)(致善路二段-洽溪路),"機車車格 週一至週日 08:00~18:00收費 30元/次,",false,false,false,APPROVED_SOURCE_TEXT,
A0Q,dayuan,Dayuan,華興路(中園街-和平西路),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0R,dayuan,Dayuan,中園街(華興路-新園街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0S,dayuan,Dayuan,科一街(科二街-科一街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0T,dayuan,Dayuan,中興街(中正東路-中華路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
A0U,dayuan,Dayuan,興德路(春德路-中山南路二段),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
