parking_segment_id,district_id,district_name,description,fare_description,has_charging_point,geometry_available,legal_answer_eligible,source_text_review_status,source_text_review_note
336,guishan,Guishan,復興一路1(文化一路-文化三路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
337,guishan,Guishan,復興一路2(文化三路-文化七路),"一般小型車格 週一至週五 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
339,guishan,Guishan,萬壽路二段1(大同路-興中街),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
340,guishan,Guishan,萬壽路二段2(山鶯路-興中街),"一般小型車格 週一至週五 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
341,guishan,Guishan,萬壽路二段3(大同路-振興路),"一般小型車格 週一至週五 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
342,guishan,Guishan,復興三路(文化一路-文化三路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
343,guishan,Guishan,文化二路1(文二一街-公園路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
344,guishan,Guishan,文化二路2(龜山一路-文二一街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
345,guishan,Guishan,文化二路3(公園路-復興三路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
346,guishan,Guishan,文化三路1(文二一街-公園路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
347,guishan,Guishan,文化三路2(龜山一路-文二一街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
348,guishan,Guishan,文化三路3(公園路-復興三路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
349,guishan,Guishan,文二一街(文化二路-文化三路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
350,guishan,Guishan,文二三街(文化三路37巷-文化二路34巷),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
351,guishan,Guishan,文興路(公園路-文二一街),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
352,guishan,Guishan,公園路(文化二路-文化三路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
353,guishan,Guishan,龜山一路(文化一路-忠義路三段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
