parking_segment_id,district_id,district_name,description,fare_description,has_charging_point,geometry_available,legal_answer_eligible,source_text_review_status,source_text_review_note
450,luzhu,Luzhu,南崁路一(立德街-南上路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
451,luzhu,Luzhu,南崁路二(南上路-南華一街),"一般小型車格 週一至週五 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
452,luzhu,Luzhu,新南路一段(南崁路-南華一街),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
453,luzhu,Luzhu,南上路(南崁路-南美街),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
454,luzhu,Luzhu,忠孝東路(中正路-南崁路),"一般小型車格 週一至週五 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
456,luzhu,Luzhu,桃園街(中正路-光復路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
457,luzhu,Luzhu,南福街(忠孝西路-奉化路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
458,luzhu,Luzhu,奉化路(南竹路二段-南昌路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
459,luzhu,Luzhu,南祥路(南崁路-中山路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
460,luzhu,Luzhu,光復路(桃園街-南竹路一段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
461,luzhu,Luzhu,忠孝西路(中正路-奉化路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
462,luzhu,Luzhu,洛陽街(桃園街-光明路一段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
