parking_segment_id,district_id,district_name,description,fare_description,has_charging_point,geometry_available,legal_answer_eligible,source_text_review_status,source_text_review_note
622,pingzhen,Pingzhen,延平路2(康樂路-廣南路),"一般小型車格 週一至週五 08:00~20:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
623,pingzhen,Pingzhen,環南路2段含35巷(民族路-新德街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
624,pingzhen,Pingzhen,廣明路(義民路-民族路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
626,pingzhen,Pingzhen,育達路含二段(延平路-文化街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
627,pingzhen,Pingzhen,文化街含8巷(復旦路二段-民族路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
628,pingzhen,Pingzhen,復興街(環南路-文化街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
629,pingzhen,Pingzhen,廣德街(育達路二段-民族路二段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
630,pingzhen,Pingzhen,廣成街(民族路-廣平街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
631,pingzhen,Pingzhen,廣平街(環南路-廣成街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
633,pingzhen,Pingzhen,廣泰路(復旦路二段-廣義街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
634,pingzhen,Pingzhen,廣義街(廣泰路-興華街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
645,pingzhen,Pingzhen,振興西路(振興路-延平路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
654,pingzhen,Pingzhen,中原路(延平路二段-中正路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
655,pingzhen,Pingzhen,平鎮區公所周邊路段(平鎮區公所周邊路段-),"一般小型車格 週一至週五 07:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
656,pingzhen,Pingzhen,龍德路(龍東路-龍福路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
657,pingzhen,Pingzhen,龍福路(龍德路-龍南路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
658,pingzhen,Pingzhen,新德街(振興西路-新榮路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
659,pingzhen,Pingzhen,龍美路(龍南路-中正一路2-24號),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
660,pingzhen,Pingzhen,中豐陸橋下及附近路段(中豐陸橋下-中豐陸橋下),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
661,pingzhen,Pingzhen,中正一路(貿東路-龍宮街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
662,pingzhen,Pingzhen,莒光路(和平公園周圍-),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
663,pingzhen,Pingzhen,德育路二段(平鎮高中旁-),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
664,pingzhen,Pingzhen,承德路(承德路8巷-金華街36巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
665,pingzhen,Pingzhen,民族路二段(機車收費)(民族路二段207號-民族路二段209號),"機車車格 週一至週五 07:00~20:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
666,pingzhen,Pingzhen,新富街(新富街70巷-新富一街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
667,pingzhen,Pingzhen,新富二街四街(環南路二段-新富三街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
668,pingzhen,Pingzhen,新富五街(新富街70巷-新富一街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
669,pingzhen,Pingzhen,中正三路(龍平路-忠貞路),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66A,pingzhen,Pingzhen,中正三路(機車收費)(龍平路-忠貞路),"機車車格 無 08:00~18:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66B,pingzhen,Pingzhen,上海路(南京路-天津街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66C,pingzhen,Pingzhen,中庸路(新光路四段-中豐路南勢二段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66D,pingzhen,Pingzhen,天津街(新光路五段-中豐路南勢二段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66E,pingzhen,Pingzhen,新光路五段(天津街-中庸路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66F,pingzhen,Pingzhen,長沙街(新光路五段-上海路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66G,pingzhen,Pingzhen,開封街(天津街-中庸路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66H,pingzhen,Pingzhen,育達路146巷(育達路-育達路158巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66I,pingzhen,Pingzhen,南平路(新光路四段-中豐路南勢二段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66J,pingzhen,Pingzhen,文化街(機車)(民族路二段-育達路二段),"機車車格 週一至週五 08:00~18:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66K,pingzhen,Pingzhen,營德路(圳南路-金陵路三段197巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66L,pingzhen,Pingzhen,新光路四段(新光路四段145巷-南京路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66M,pingzhen,Pingzhen,游泳路(龍岡路三段-龍慈路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66N,pingzhen,Pingzhen,自由街(湧光路-湧安路),"一般小型車格 週一至週五 08:00~18:00收費 0元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66O,pingzhen,Pingzhen,湧光路136巷(自由街-湧光路136巷80弄),"一般小型車格 週一至週五 08:00~18:00收費 0元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66P,pingzhen,Pingzhen,中豐路山頂段(湧東路-中豐路山頂段366巷),"一般小型車格 週一至週五 08:00~18:00收費 0元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66Q,pingzhen,Pingzhen,祥安街(自由街129巷-麻園街),"一般小型車格 週一至週五 08:00~18:00收費 0元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66R,pingzhen,Pingzhen,民族路二段193巷(機車)(民族路二段-民族路二段193巷1弄),"機車車格 週一至週五 07:00~20:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66S,pingzhen,Pingzhen,民族路二段193巷(民族路二段-民族路二段193巷1弄),"一般小型車格 週一至週五 08:00~18:00收費 第一30分鐘收費0元，第二30分鐘收費0元，第三30分鐘收費0元,",false,false,false,APPROVED_SOURCE_TEXT,
66T,pingzhen,Pingzhen,湧光路(湧光路208巷-湧光路156巷),"一般小型車格 週一至週五 08:00~18:00收費 0元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66U,pingzhen,Pingzhen,湧安路(頂好街-自由街),"一般小型車格 週一至週五 08:00~18:00收費 0元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66V,pingzhen,Pingzhen,金陵路(振興路-莒光路),"一般小型車格 週一至週五 08:00~18:00收費 0元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66W,pingzhen,Pingzhen,龍安路(龍安路133巷-平東路152巷),"一般小型車格 週一至週五 08:00~18:00收費 0元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
66X,pingzhen,Pingzhen,南區青少年活動中心(-),"一般小型車格 週一至週五 08:00~18:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
