parking_segment_id,district_id,district_name,description,fare_description,has_charging_point,geometry_available,legal_answer_eligible,source_text_review_status,source_text_review_note
832,yangmei,Yangmei,大成路(中山路-光前街),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
833,yangmei,Yangmei,楊新路(大模街-新成路),"一般小型車格 週一至週六 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
834,yangmei,Yangmei,大模街(武營街-楊新路),"一般小型車格 週一至週日 07:00~20:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
835,yangmei,Yangmei,大平街一(大模街-楊湖路一段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
836,yangmei,Yangmei,大平街二(大模街-新成路),"一般小型車格 週一至週六 08:00~20:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
837,yangmei,Yangmei,新成路(中山路-楊新路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
838,yangmei,Yangmei,光復(北)街(大模街-新成路),"一般小型車格 週一至週六 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
839,yangmei,Yangmei,新農街二(新成路-新農街二段209巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
840,yangmei,Yangmei,新農街一(大成路-新成街),"一般小型車格 週一至週六 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
841,yangmei,Yangmei,環南路(校前路-秀才路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
842,yangmei,Yangmei,楊新北路(楊新路-新農街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
843,yangmei,Yangmei,秀才路(中山路-新江路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
844,yangmei,Yangmei,環東路一(新農街-中山北路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
845,yangmei,Yangmei,環東路二(校前路-中山北路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
846,yangmei,Yangmei,光前街(楊新路-至巷底),"一般小型車格 週一至週六 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
847,yangmei,Yangmei,中山路(楊湖路一段-大成路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
849,yangmei,Yangmei,金山街(含中山北路390巷)(環東路-新農街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
851,yangmei,Yangmei,瑞溪路二段(文化街-梅獅路二段),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
852,yangmei,Yangmei,金龍一二路(中興路-五守街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
