parking_segment_id,district_id,district_name,description,fare_description,has_charging_point,geometry_available,legal_answer_eligible,source_text_review_status,source_text_review_note
253,zhongli,Zhongli,復興路(中山路-中央東路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
254,zhongli,Zhongli,中山路(義民路-和平路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
255,zhongli,Zhongli,中正路(火車站-明德路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
256,zhongli,Zhongli,中央西路(延平路-三光路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
257,zhongli,Zhongli,中豐路(中央西路-環北路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
258,zhongli,Zhongli,中美路(元化路-新生路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
259,zhongli,Zhongli,新生路(環北路-中央西路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
260,zhongli,Zhongli,元化路(中和路-新生路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
261,zhongli,Zhongli,九和二街(慈惠三街-新生路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
262,zhongli,Zhongli,九和三街(慈惠三街-新生路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
263,zhongli,Zhongli,九和五街(慈惠三街-新生路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
264,zhongli,Zhongli,九和六街(慈惠三街-新生路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
265,zhongli,Zhongli,六和路(環北路-元化路),"一般小型車格 週一至週日 07:00~20:00收費 第一30分鐘收費20元，第二30分鐘收費25元，第三30分鐘收費30元,",false,false,false,APPROVED_SOURCE_TEXT,
266,zhongli,Zhongli,慈惠三街(環北路-元化路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
268,zhongli,Zhongli,延平路一含266巷及七和一街(元化路-康樂路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
269,zhongli,Zhongli,大同路(中正路-中央西路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
271,zhongli,Zhongli,民族路(明德路-中壢交流道),"一般小型車格 週一至週五 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
272,zhongli,Zhongli,三光路(中正路-民權路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
273,zhongli,Zhongli,環北路(延平路-民權路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
274,zhongli,Zhongli,環西路(民權路-民族路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
275,zhongli,Zhongli,明德南路(義民路-中正路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
276,zhongli,Zhongli,新明路(民族路-中央西路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
280,zhongli,Zhongli,環中東路(強國路-永福路),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
282,zhongli,Zhongli,溪洲街(普義路-中山路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
283,zhongli,Zhongli,文中路三(龍壽街一段-吉林北路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
289,zhongli,Zhongli,中榮路(康樂路-中正路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
299,zhongli,Zhongli,青埔路一、二段(領航北路三段-領航南路二段),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
2A2,zhongli,Zhongli,青心路(高鐵北路一段-領航南路三段),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
2A3,zhongli,Zhongli,青昇路(領航北路三段-領航南路三段),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
2AA,zhongli,Zhongli,新生路一(環北路-新生路509巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
2AC,zhongli,Zhongli,忠義路(中華路二段-忠信路),"一般小型車格 週一至週六 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
2AJ,zhongli,Zhongli,文化二路(中華路一段-元生三街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
2AK,zhongli,Zhongli,高鐵南路一段(青埔路二段-領航南路一段),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
2AM,zhongli,Zhongli,忠孝路(中華路一段-長春一路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
2AN,zhongli,Zhongli,中豐路2(中央西路二段-中山路),"一般小型車格 週一至週日 07:00~20:00收費 15元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
2B1,zhongli,Zhongli,春德路(領航北路3段-領航北路3段),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
2B2,zhongli,Zhongli,洽溪路1(公園路-文德路),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
2B3,zhongli,Zhongli,文德路1(高鐵南路-洽溪路),"一般小型車格 週一至週日 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
